Player:,Team:,Cost:,Tier(s):,Record:,Week 1:,Week 2:,Week 3:,Week 4:,Week 5:,Week 6:,Week 7:,Week 8:,Week 9:,Semis:,Final:,SORTER
undisputed,Ruiners,13500,ADV OU,8 - 1 - 0,W vs Astamatitos (ADV OU),W vs BKC (ADV OU),L vs UD (ADV OU),W vs thelinearcurve (ADV OU),W vs Triangles (ADV OU),W vs London Beats (ADV OU),W vs k3nan (ADV OU),W vs Ojama (ADV OU),W vs Kevin Garrett (ADV OU),,,799.135
Eternal Spirit,Tigers,12000,SM OU / SM RU,8 - 1 - 0,W vs Arifeen (SM RU),W vs New Breed (SM RU),W vs Trosko (SM OU),W vs Gingy (SM OU),W vs blunder (SM OU),L vs Eo Ut Mortus (SM OU),W vs Empo (SM OU),W vs Sabella (SM OU),W vs FlamingVictini (SM OU),,,799.12
Pak,Raiders,3000,SM UU,8 - 1 - 0,W vs Manipulative (SM UU),W vs Bushtush (SM UU),W vs Lycans (SM UU),W vs A Hero's Destiny (SM UU),W vs Void (SM UU),L vs Christo (SM UU),W vs HT (SM UU),W vs dodmen (SM UU),W vs Sacri' (SM UU),,,799.03
Updated Kanto,Wolfpack,3000,ORAS OU / DPP OU,8 - 1 - 0,W vs Hiye (ORAS OU),W vs Mounts (ORAS OU),L vs Nintendi (ORAS OU),W vs CrashinBoomBang (ORAS OU),W vs TDK (ORAS OU),W vs Exiline (ORAS OU),W vs Znain (ORAS OU),W vs xray (ORAS OU),W vs dice (DPP OU),,,799.03
Fear,Wolfpack,12000,GSC OU,7 - 1 - 0,W vs idiotfrommars (GSC OU),W vs giara (GSC OU),W vs k3nan (GSC OU),L vs sulcata (GSC OU),W vs choolio (GSC OU),W vs Pleasure (GSC OU),W vs Jimmy Turtwig (GSC OU),W vs Mr.E (GSC OU),,,,699.12
BKC,Raiders,37000,BW OU / ADV OU,7 - 2 - 0,W vs Triangles (ADV OU),L vs undisputed (ADV OU),L vs Ojama (ADV OU),W vs McMeghan (BW OU),W vs SoulWind (BW OU),W vs dice (BW OU),W vs Arii Stella (BW OU),W vs Smurf. (BW OU),W vs LuckOverSkill (BW OU),,,698.37
Lavos,Tyrants,20500,GSC OU,7 - 2 - 0,W vs Jimmy Turtwig (GSC OU),W vs d0nut (GSC OU),W vs idiotfrommars (GSC OU),W vs giara (GSC OU),L vs Century Express (GSC OU),W vs choolio (GSC OU),W vs Pleasure (GSC OU),W vs sulcata (GSC OU),L vs ABR (GSC OU),,,698.205
MajorBowman,Tigers,13000,SM DOU,7 - 2 - 0,W vs Demantoid (SM DOU),W vs Biosci (SM DOU),W vs marilli (SM DOU),W vs Kaori (SM DOU),L vs stax (SM DOU),W vs Jhon (SM DOU),L vs Croven (SM DOU),W vs EmbCPT (SM DOU),W vs miltankmilk (SM DOU),,,698.13
Nintendi,Tigers,10000,ORAS OU,7 - 2 - 0,W vs Axel (ORAS OU),L vs CrashinBoomBang (ORAS OU),W vs Updated Kanto (ORAS OU),W vs TDK (ORAS OU),W vs Get this Money (ORAS OU),L vs xray (ORAS OU),W vs Destiny Device (ORAS OU),W vs Znain (ORAS OU),W vs Mounts (ORAS OU),,,698.1
UD,Tyrants,10000,ADV OU,7 - 2 - 0,W vs thelinearcurve (ADV OU),L vs Triangles (ADV OU),W vs undisputed (ADV OU),L vs Ojama (ADV OU),W vs CALLOUS (ADV OU),W vs Jirachee (ADV OU),W vs Deluks917 (ADV OU),W vs London Beats (ADV OU),W vs Astamatitos (ADV OU),,,698.1
Christo,Tyrants,10000,SM UU,7 - 2 - 0,W vs Sacri' (SM UU),W vs Manipulative (SM UU),W vs Bushtush (SM UU),L vs Lycans (SM UU),W vs A Hero's Destiny (SM UU),W vs Pak (SM UU),L vs dodmen (SM UU),W vs HT (SM UU),W vs Cynde (SM UU),,,698.1
roscoe,Raiders,8000,DPP OU,7 - 2 - 0,L vs Honor (DPP OU),W vs We Three Kings (DPP OU),W vs Go10 (DPP OU),W vs Tamahome (DPP OU),W vs Fakes (DPP OU),W vs Bluewind (DPP OU),W vs Sweepage (DPP OU),L vs ToF (DPP OU),W vs NightFox (DPP OU),,,698.08
Teddeh,Sharks,5500,SM NU,7 - 2 - 0,W vs Hootie (SM NU),L vs Pohjis (SM NU),W vs ict (SM NU),W vs Kushalos (SM NU),W vs Eternally (SM NU),L vs Rodriblutar (SM NU),W vs cb jose altuve (SM NU),W vs Zukushiku (SM NU),W vs lax (SM NU),,,698.055
Eo Ut Mortus,BIGs,5500,SM OU,6 - 2 - 0,W vs TDK (SM OU),,W vs Sabella (SM OU),W vs BHARATH_THEBEST (SM OU),L vs Cdumas (SM OU),W vs Eternal Spirit (SM OU),W vs Leftiez (SM OU),W vs Trosko (SM OU),L vs HT (SM OU),,,598.055
roudolf13,Ruiners,3000,RBY OU,6 - 2 - 0,L vs The Idiot Ninja (RBY OU),L vs MetalGro$$ (RBY OU),,W vs Lusch (RBY OU),W vs marcoasd (RBY OU),W vs Peasounay (RBY OU),W vs Diegolh (RBY OU),W vs Alexander. (RBY OU),W vs GGFan (RBY OU),,,598.03
bro fist,BIGs,31000,SM OU,6 - 3 - 0,W vs Gondra (SM OU),L vs z0mog (SM OU),L vs Blackoblivion (SM OU),W vs Lednah (SM OU),W vs Kory2600 (SM OU),L vs p2 (SM OU),W vs FlamingVictini (SM OU),W vs ABR (SM OU),W vs ict (SM OU),,,597.31
Cdumas,Ruiners,27500,SM OU,6 - 3 - 0,W vs ABR (SM OU),L vs TDK (SM OU),W vs psychicmewtwo (SM OU),W vs Sabella (SM OU),W vs Eo Ut Mortus (SM OU),L vs CrashinBoomBang (SM OU),W vs p2 (SM OU),W vs FlamingVictini (SM OU),L vs BHARATH_THEBEST (SM OU),,,597.275
SoulWind,Wolfpack,23000,BW OU,6 - 3 - 0,L vs ZoroDark (BW OU),W vs elodin (BW OU),W vs McMeghan (BW OU),W vs Funkasaurus (BW OU),L vs BKC (BW OU),W vs Energy (BW OU),W vs Shoka (BW OU),L vs Posho (BW OU),W vs JabbaTheGriffin (BW OU),,,597.23
ABR,Wolfpack,19000,SM OU / GSC OU,6 - 3 - 0,L vs Cdumas (SM OU),W vs FlamingVictini (SM OU),W vs p2 (SM OU),W vs Poek (SM OU),W vs Gondra (SM OU),W vs Lednah (SM OU),L vs Blackoblivion (SM OU),L vs bro fist (SM OU),W vs ABR (GSC OU),,,597.19
soulgazer,Wolfpack,17500,SM RU / SM OU,6 - 3 - 0,W vs Chill Shadow (SM RU),W vs Feliburn (SM RU),L vs lighthouses (SM RU),W vs New Breed (SM RU),W vs mael (SM RU),L vs Tricking (SM RU),W vs Bouff (SM RU),L vs Windsong (SM RU),W vs Will of Fire (SM OU),,,597.175
Blackoblivion,Classiest,10500,SM OU,6 - 3 - 0,W vs z0mOG (SM OU),L vs Lednah (SM OU),W vs bro fist (SM OU),W vs Kory2600 (SM OU),W vs aim (SM OU),L vs FlamingVictini (SM OU),W vs ABR (SM OU),W vs p2 (SM OU),L vs TDK (SM OU),,,597.105
dice,Tyrants,10500,BW OU / DPP OU,6 - 3 - 0,W vs LuckOverSkill (BW OU),W vs Posho (BW OU),W vs jacob (BW OU),W vs elodin (BW OU),W vs McMeghan (BW OU),L vs BKC (BW OU),L vs Smurf. (BW OU),W vs Arii Stella (BW OU),L vs Updated Kanto (DPP OU),,,597.105
Windsong,BIGs,10000,SM RU,6 - 3 - 0,W vs -Tsunami- (SM RU),L vs SilentVerse (SM RU),W vs Ajna (SM RU),W vs Tricking (SM RU),L vs Chill Shadow (SM RU),W vs lighthouses (SM RU),W vs Feliburn (SM RU),W vs soulgazer (SM RU),L vs Nat (SM RU),,,597.1
choolio,Raiders,10000,GSC OU,6 - 3 - 0,W vs d0nut (GSC OU),W vs idiotfrommars (GSC OU),W vs giara (GSC OU),W vs k3nan (GSC OU),L vs Fear (GSC OU),L vs Lavos (GSC OU),L vs sulcata (GSC OU),W vs Pleasure (GSC OU),W vs Jimmy Turtwig (GSC OU),,,597.1
Alexander.,Scooters,6500,RBY OU,6 - 3 - 0,W vs Peasounay (RBY OU),L vs The Idiot Ninja (RBY OU),W vs MetalGro$$ (RBY OU),W vs Analytic (RBY OU),W vs Exiline (RBY OU),W vs Heroic Troller (RBY OU),L vs marcoasd (RBY OU),L vs roudolf13 (RBY OU),W vs Diegolh (RBY OU),,,597.065
EmbCPT,Classiest,4500,SM DOU,6 - 3 - 0,W vs stax (SM DOU),L vs Demantoid (SM DOU),W vs Jhon (SM DOU),L vs Croven (SM DOU),W vs Biosci (SM DOU),W vs miltankmilk (SM DOU),W vs marilli (SM DOU),L vs MajorBowman (SM DOU),W vs Kaori (SM DOU),,,597.045
Nat,Cryonicles,3000,SM RU,5 - 0 - 0,,,,,W vs Ajna (SM RU),W vs Chill Shadow (SM RU),W vs Gingy (SM RU),W vs SilentVerse (SM RU),W vs Windsong (SM RU),,,500.03
Kevin Garrett,Sharks,3000,ADV OU,5 - 2 - 0,W vs CALLOUS (ADV OU),W vs thelinearcurve (ADV OU),L vs danilo (ADV OU),W vs Hot N Cold (ADV OU),W vs Ojama (ADV OU),,,W vs Jirachee (ADV OU),L vs undisputed (ADV OU),,,498.03
BHARATH_THEBEST,Sharks,16000,SM OU,5 - 3 - 0,L vs p2 (SM OU),W vs Sabella (SM OU),W vs Poek (SM OU),L vs Eo Ut Mortus (SM OU),L vs FlamingVictini (SM OU),,W vs psychicmewtwo (SM OU),W vs TDK (SM OU),W vs Cdumas (SM OU),,,497.16
ToF,Sharks,13000,DPP OU,5 - 3 - 0,L vs Tamahome (DPP OU),L vs NightFox (DPP OU),L vs aim (DPP OU),,W vs boudouche (DPP OU),W vs Nails (DPP OU),W vs Bluewind (DPP OU),W vs roscoe (DPP OU),W vs We Three Kings (DPP OU),,,497.13
Void,Wolfpack,11500,SM UU / DPP OU,5 - 3 - 0,L vs We Three Kings (DPP OU),W vs boudouche (DPP OU),W vs Tamahome (DPP OU),L vs aim (DPP OU),L vs Pak (SM UU),W vs dodmen (SM UU),W vs NightFox (DPP OU),W vs d0nut (DPP OU),,,,497.115
Pohjis,Classiest,10000,SM NU,5 - 3 - 0,L vs cb jose altuve (SM NU),W vs Teddeh (SM NU),W vs Kushalos (SM NU),L vs lax (SM NU),,W vs Eternally (SM NU),W vs Earth (SM NU),W vs Hootie (SM NU),L vs Zukushiku (SM NU),,,497.1
Biosci,Cryonicles,5000,SM DOU,5 - 3 - 0,W vs miltankmilk (SM DOU),L vs MajorBowman (SM DOU),W vs Demantoid (SM DOU),W vs marilli (SM DOU),L vs EmbCPT (SM DOU),W vs Croven (SM DOU),,W vs stax (SM DOU),L vs Jhon (SM DOU),,,497.05
z0mOG,Tyrants,3500,SM OU,5 - 3 - 0,L vs Blackoblivion (SM OU),W vs bro fist (SM OU),L vs Empo (SM OU),W vs Obliviate (SM OU),L vs p2 (SM OU),W vs Gondra (SM OU),W vs Lednah (SM OU),W vs Poek (SM OU),,,,497.035
Zukushiku,Raiders,3000,SM NU,5 - 3 - 0,L vs Kushalos (SM NU),W vs snagaa (SM NU),W vs Eternally (SM NU),,L vs Earth (SM NU),W vs cb jose altuve (SM NU),W vs ict (SM NU),L vs Teddeh (SM NU),W vs Pohjis (SM NU),,,497.03
SilentVerse,Tyrants,3000,SM RU,5 - 3 - 0,L vs Ajna (SM RU),W vs Windsong (SM RU),W vs Chill Shadow (SM RU),W vs njnp (SM RU),L vs lighthouses (SM RU),W vs TDK (SM RU),W vs Tricking (SM RU),L vs Nat (SM RU),,,,497.03
Bluewind,Tyrants,3000,DPP OU,5 - 3 - 0,L vs NightFox (DPP OU),W vs Honor (DPP OU),W vs We Three Kings (DPP OU),W vs Go10 (DPP OU),W vs Tamahome (DPP OU),L vs roscoe (DPP OU),L vs ToF (DPP OU),W vs aim (DPP OU),,,,497.03
Peasounay,Cryonicles,16000,RBY OU / BW OU,5 - 4 - 0,L vs Alexander. (RBY OU),W vs Diegolh (RBY OU),L vs GGFan (RBY OU),L vs The Idiot Ninja (RBY OU),W vs Lusch (RBY OU),L vs roudolf13 (RBY OU),W vs -Tsunami- (RBY OU),W vs Earthworm (RBY OU),W vs Posho (BW OU),,,496.16
xray,BIGs,13500,ORAS OU,5 - 4 - 0,W vs Gingy (ORAS OU),W vs Get this Money (ORAS OU),L vs Znain (ORAS OU),W vs Axel (ORAS OU),L vs Hiye (ORAS OU),W vs Nintendi (ORAS OU),L vs Mounts (ORAS OU),L vs Updated Kanto (ORAS OU),W vs CrashinBoomBang (ORAS OU),,,496.135
FlamingVictini,Scooters,13000,SM OU,5 - 4 - 0,W vs Poek (SM OU),L vs ABR (SM OU),W vs Gingy (SM OU),W vs psychicmewtwo (SM OU),W vs BHARATH_THEBEST (SM OU),W vs Blackoblivion (SM OU),L vs bro fist (SM OU),L vs Cdumas (SM OU),L vs Eternal Spirit (SM OU),,,496.13
We Three Kings,Ruiners,11000,DPP OU,5 - 4 - 0,W vs Void (DPP OU),L vs roscoe (DPP OU),L vs Bluewind (DPP OU),W vs NightFox (DPP OU),W vs Honor (DPP OU),L vs Sweepage (DPP OU),W vs Tamahome (DPP OU),W vs boudouche (DPP OU),L vs ToF (DPP OU),,,496.11
